Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,04/22/2022,Hacking/IT Incident,Network Server,Yes,NA
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,04/19/2022,Hacking/IT Incident,Email,No,NA
elizabeth ortof MD,NY,Healthcare Provider,5000,09/23/2021,Theft,Laptop,No,"Dr. Elizabeth Ortof reported that her laptop was stolen from her office.  The laptop contained the electronic protected health information (ePHI) of 5,000 individuals.  The ePHI involved included names, lab results, medications prescribed, and other treatment information.  During the course of the investigation, OCR determined that Dr. Ortof is not a covered entity as defined by the HIPAA Privacy Rule and subsequently closed its investigation."
"The Recovery Project, LLC",MI,Healthcare Provider,1103,06/28/2021,Hacking/IT Incident,Email,No,"The covered entity (CE), The Recovery Project, LLC, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 1,103 individuals.  The ePHI involved included names, Social Security numbers, dates of birth and drivers’ licenses numbers.  The CE notified HHS, affected individuals, the media, and provided credit monitoring services to affected individuals.  In response to the breach, the CE strengthened its technical safeguards and retrained its staff on email security."
Tri-County Family Medicine,NY,Healthcare Provider,1438,06/01/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Tri-County Family Medicine, reported that its business associate experienced a cyber-attack that affected the electronic protected health information (ePHI) of 1,438 individuals. The ePHI involved included names, dates of birth, prescription information, and treatment information. The CE notified HHS, affected individuals, and the media."
Specialty Surgical Suites dba Minimally Invasive Surgery of Hawaii,HI,Healthcare Provider,1000,04/20/2021,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Specialty Surgical Suites dba Minimally Invasive Surgery of Hawaii, reported that it was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of 1,000 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims and financial information, diagnoses, conditions, medications prescribed, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI. During the investigation, OCR provided the CE with technical assistance."
Orthopedic Associates of Hawaii,HI,Healthcare Provider,138000,04/20/2021,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Orthopedic Associates of Hawaii, reported that it was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of approximately 138,000 individuals. The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims and financial information, and treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional technical and administrative safeguards to better protect its ePHI.  During the investigation, OCR provided the CE with technical assistance."
Southern Orthopaedic Surgeons,AL,Healthcare Provider,4983,04/05/2021,Hacking/IT Incident,Email,No,"The covered entity (CE), Southern Orthopaedic Surgeons, reported that it experienced a cyber-attack that affected the  electronic protected health information (ePHI) of 4,983 individuals. The ePHI involved included names, dates of birth, addresses, Social Security numbers, and treatment information. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications. The CE notified HHS, affected individuals, and the media.
"
"Proteus Molecular and Clinical Lab, LLC",AL,Healthcare Provider,728,03/29/2021,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Proteus Molecular and Clinical Lab, reported that an employee emailed the electronic protected health information (ePHI) of 728 individuals to his personal email account. The ePHI involved included names, birthdates, diagnoses, health insurance and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional security safeguards and retrained its staff to better protect its ePHI."
Mattapan Community Health Center,MA,Healthcare Provider,4073,12/31/2020,Hacking/IT Incident,Email,No,"The covered entity (CE), Mattapan Community Health Center (MCHC), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 4,073 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, and medical information. Following the breach, MCHC implemented additional administrative and technical safeguards and retrained its staff on email security.  MCHC also provided complimentary credit monitoring services and established a call center for questions or concerns. As a result of OCR’s investigation, the CE received technical assistance pertaining to the HIPAA Security and Breach Notification Rules."
"Riverside Community Care, Inc.",MA,Healthcare Provider,6978,12/23/2020,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Riverside Community Care, Inc., reported that it suffered a ransomware attack that affected the electronic protected health information (ePHI) of 6,978 individuals. The ePHI involved included names, Social Security numbers, addresses, dates of birth, diagnoses/conditions, medication information, and lab results. In response to the breach, the CE added additional security safeguards to better protect its ePHI. The CE notified HHS, affected individuals, the media, and provided substitute notice."
